domain,domain_start,domain_end,optimal_youden_index,assay_source,metric,metric_std,optimal_youden_index_std,num_positive,num_negative,model
C-tail,306,332,8.0,MC4R,0.5162037037037036,0.09487917375888516,7.0710678118654755,24.0,18.0,RF AL
ECD,1,35,10.2,MC4R,0.504691580649173,0.09740841372127627,11.584472366059664,44.0,18.0,RF AL
ECL2,141,149,9.2,MC4R,0.5567765567765568,0.12198407183404184,2.6832815729997477,7.0,39.0,RF AL
ECL3,231,239,2.8,MC4R,0.5733333333333334,0.18431555067932337,1.0954451150103324,10.0,2.0,RF AL
ICL1,66,71,0.0,MC4R,,,0.0,0.0,15.0,RF AL
ICL2,103,109,3.8,MC4R,0.5,0.161970885967925,2.7748873851023217,3.0,6.0,RF AL
ICL3,176,199,9.0,MC4R,0.5418849206349207,0.1313599095588803,1.4142135623730951,5.0,64.0,RF AL
ICL4,271,279,0.0,MC4R,,,0.0,0.0,10.0,RF AL
TM1,36,65,12.0,MC4R,0.5644797178130512,0.13903360787064448,7.416198487095663,10.0,63.0,RF AL
TM2,72,102,11.4,MC4R,0.5421850079744817,0.057830394486021876,6.913754406977442,38.0,67.0,RF AL
TM3,110,140,35.0,MC4R,0.564394829612221,0.04014499900378479,11.423659658795863,37.0,92.0,RF AL
TM4,150,175,19.2,MC4R,0.5529434850863423,0.13172636113687644,10.158740079360236,14.0,92.0,RF AL
TM5,200,230,22.8,MC4R,0.5221614123581336,0.08426684294779131,10.256705123966467,26.0,61.0,RF AL
TM6,240,270,14.6,MC4R,0.4976640711902114,0.05029666346450356,7.503332592921628,31.0,58.0,RF AL
TM7,280,305,16.6,MC4R,0.499209486166008,0.07547622039231519,5.176871642217914,11.0,92.0,RF AL
C-tail,306,332,11.0,MC4R,0.7361111111111112,,,24.0,18.0,LLR
ECD,1,35,23.0,MC4R,0.21085858585858586,,,44.0,18.0,LLR
ECL2,141,149,10.0,MC4R,0.9377289377289377,,,7.0,39.0,LLR
ECL3,231,239,2.0,MC4R,1.0,,,10.0,2.0,LLR
ICL1,66,71,0.0,MC4R,,,,0.0,15.0,LLR
ICL2,103,109,2.0,MC4R,1.0,,,3.0,6.0,LLR
ICL3,176,199,7.0,MC4R,0.834375,,,5.0,64.0,LLR
ICL4,271,279,0.0,MC4R,,,,0.0,10.0,LLR
TM1,36,65,16.0,MC4R,0.7222222222222222,,,10.0,63.0,LLR
TM2,72,102,22.0,MC4R,0.7647289866457188,,,38.0,67.0,LLR
TM3,110,140,14.0,MC4R,0.5957696827262045,,,37.0,92.0,LLR
TM4,150,175,18.0,MC4R,0.8555900621118012,,,14.0,92.0,LLR
TM5,200,230,28.0,MC4R,0.8058007566204287,,,26.0,61.0,LLR
TM6,240,270,6.0,MC4R,0.5016685205784205,,,31.0,58.0,LLR
TM7,280,305,15.0,MC4R,0.6185770750988142,,,11.0,92.0,LLR
C‑terminal tail,301,465,520.4,HXK4,0.5547929073337892,0.0269546213274466,153.04672489145267,794.0,1352.0,RF AL
Hinge 1,65,72,20.6,HXK4,0.5291926103318507,0.07145832332243786,10.573551910309043,80.0,37.0,RF AL
Hinge 2,181,200,38.6,HXK4,0.6166253383889406,0.0301449691763223,8.44393273303382,39.0,287.0,RF AL
Large domain (C‑lobe),201,300,228.4,HXK4,0.5153042940705331,0.020110820846632932,186.9125463953664,417.0,1066.0,RF AL
Large domain (N‑lobe),73,180,242.6,HXK4,0.47361487636683297,0.03467042091319595,130.37177608669754,201.0,1467.0,RF AL
Small domain,1,64,191.6,HXK4,0.5208248421754333,0.021627267651437052,118.44956732719626,271.0,475.0,RF AL
C‑terminal tail,301,465,515.0,HXK4,0.7646440400431691,,,795.0,1352.0,LLR
Hinge 1,65,72,23.0,HXK4,0.8047297297297297,,,80.0,37.0,LLR
Hinge 2,181,200,42.0,HXK4,0.7865630304654695,,,39.0,287.0,LLR
Large domain (C‑lobe),201,300,353.0,HXK4,0.7990983033629329,,,417.0,1067.0,LLR
Large domain (N‑lobe),73,180,260.0,HXK4,0.795433994086748,,,201.0,1469.0,LLR
Small domain,1,64,234.0,HXK4,0.7188036511944067,,,271.0,475.0,LLR
C-terminal tail,352,403,26.6,PTEN,0.40576449433719725,0.04199475749157623,20.707486568871655,60.0,39.0,RF AL
C2 domain,195,351,89.4,PTEN,0.5691390458705203,0.017666045060162384,37.051315766110115,110.0,442.0,RF AL
Linker,186,194,5.8,PTEN,0.6537931034482758,0.12635943297602045,3.1144823004794873,5.0,29.0,RF AL
Phosphatase domain,1,185,100.6,PTEN,0.5933366091356855,0.02050197451643412,36.97025831665232,113.0,569.0,RF AL
C-terminal tail,352,403,22.0,PTEN,0.7803418803418803,,,60.0,39.0,LLR
C2 domain,195,351,96.0,PTEN,0.8764500205676676,,,110.0,442.0,LLR
Linker,186,194,4.0,PTEN,0.9862068965517242,,,5.0,29.0,LLR
Phosphatase domain,1,185,82.0,PTEN,0.7530366891145776,,,113.0,569.0,LLR
Kinase,270,536,283.8,SRC,0.5857564319711371,0.016672305094005066,98.03162754948018,395.0,1673.0,RF AL
Kinase,270,536,453.0,SRC,0.7482102141125369,,,396.0,1679.0,LLR
