domain,domain_start,domain_end,optimal_youden_index,assay_source,metric,metric_std,optimal_youden_index_std,num_positive,num_negative,model
C-tail,306,332,8.0,MC4R,0.5162037037037036,0.09487917375888516,7.0710678118654755,24.0,18.0,GOF/LOF
ECD,1,35,10.2,MC4R,0.504691580649173,0.09740841372127627,11.584472366059664,44.0,18.0,GOF/LOF
ECL2,141,149,9.2,MC4R,0.5567765567765568,0.12198407183404184,2.6832815729997477,7.0,39.0,GOF/LOF
ECL3,231,239,2.8,MC4R,0.5733333333333334,0.18431555067932337,1.0954451150103324,10.0,2.0,GOF/LOF
ICL1,66,71,0.0,MC4R,,,0.0,0.0,15.0,GOF/LOF
ICL2,103,109,3.8,MC4R,0.5,0.161970885967925,2.7748873851023217,3.0,6.0,GOF/LOF
ICL3,176,199,9.0,MC4R,0.5418849206349207,0.1313599095588803,1.4142135623730951,5.0,64.0,GOF/LOF
ICL4,271,279,0.0,MC4R,,,0.0,0.0,10.0,GOF/LOF
TM1,36,65,12.0,MC4R,0.5644797178130512,0.13903360787064448,7.416198487095663,10.0,63.0,GOF/LOF
TM2,72,102,11.4,MC4R,0.5421850079744817,0.057830394486021876,6.913754406977442,38.0,67.0,GOF/LOF
TM3,110,140,35.0,MC4R,0.564394829612221,0.04014499900378479,11.423659658795863,37.0,92.0,GOF/LOF
TM4,150,175,19.2,MC4R,0.5529434850863423,0.13172636113687644,10.158740079360236,14.0,92.0,GOF/LOF
TM5,200,230,22.8,MC4R,0.5221614123581336,0.08426684294779131,10.256705123966467,26.0,61.0,GOF/LOF
TM6,240,270,14.6,MC4R,0.4976640711902114,0.05029666346450356,7.503332592921628,31.0,58.0,GOF/LOF
TM7,280,305,16.6,MC4R,0.499209486166008,0.07547622039231519,5.176871642217914,11.0,92.0,GOF/LOF
C-tail,306,332,48.6,MC4R,0.5330344626501299,0.03139310081763212,23.383755044902433,66.0,447.0,GOF_10%
ECD,1,35,92.2,MC4R,0.5089506326456446,0.04988240722976731,64.68925722250951,91.0,570.0,GOF_10%
ECL2,141,149,21.0,MC4R,0.5090728157291625,0.051712523319995346,9.055385138137417,17.0,154.0,GOF_10%
ECL3,231,239,26.4,MC4R,0.5191095861039079,0.04643248244521517,10.807404868885037,32.0,139.0,GOF_10%
ICL1,66,71,4.4,MC4R,0.35929054054054055,0.2016038953367391,1.3416407864998738,2.0,112.0,GOF_10%
ICL2,103,109,22.2,MC4R,0.5280033512655437,0.05912250875009012,9.654014708917735,17.0,116.0,GOF_10%
ICL3,176,199,21.0,MC4R,0.5238952829926928,0.04559418882843473,12.083045973594572,21.0,435.0,GOF_10%
ICL4,271,279,8.6,MC4R,0.48487507457768997,0.0824754874665954,2.6076809620810595,5.0,166.0,GOF_10%
TM1,36,65,43.2,MC4R,0.5097491746029194,0.039431094522372416,21.93627133311402,44.0,526.0,GOF_10%
TM2,72,102,22.6,MC4R,0.516121560680097,0.04300306490449458,16.16477652180815,67.0,521.0,GOF_10%
TM3,110,140,73.8,MC4R,0.5298597236296715,0.03378201089578213,20.16680440724311,64.0,525.0,GOF_10%
TM4,150,175,50.6,MC4R,0.5223696921319639,0.046418805441154336,21.789905919943756,46.0,448.0,GOF_10%
TM5,200,230,90.2,MC4R,0.45962518598164026,0.04496412563299735,16.769019053003667,58.0,531.0,GOF_10%
TM6,240,270,71.6,MC4R,0.4942962241259946,0.04089186831628974,52.2379172632294,72.0,517.0,GOF_10%
TM7,280,305,39.0,MC4R,0.5155383815483355,0.07829549077787,18.867962264113206,29.0,463.0,GOF_10%
C-tail,306,332,69.0,MC4R,0.5319236086305803,0.02342851983795947,40.367065783878814,130.0,383.0,GOF_20%
ECD,1,35,153.0,MC4R,0.4980635417632223,0.050528240753305524,105.38738064872852,199.0,462.0,GOF_20%
ECL2,141,149,38.2,MC4R,0.4896015332185545,0.026052632572804102,14.324803663575986,28.0,143.0,GOF_20%
ECL3,231,239,43.2,MC4R,0.529151252587102,0.04606780509686792,9.23038460737146,59.0,112.0,GOF_20%
ICL1,66,71,10.4,MC4R,0.4988834951456311,0.11206508173783904,5.727128425310541,10.0,104.0,GOF_20%
