round_num,auc,auc_std,optimal_youden_index,optimal_youden_index_std,assay_source,model,llr_auc,num_positive,num_negative
1,0.5,0.0,0.0,0.0,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
2,0.5187540134399843,0.039914257144129016,165.0,116.47102644005504,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
3,0.5017421025552296,0.02271491461711121,160.0,140.37806096395548,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
4,0.5120243523380386,0.030714985578312915,227.6,90.07940941191833,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
5,0.5358747791528771,0.026638224276276695,144.8,76.25418021328404,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
6,0.5207386043650175,0.01997450036995865,138.6,64.84057371738778,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
7,0.5270419573599527,0.030164780366149103,235.2,107.05232365530419,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
8,0.529289585554863,0.012376967468542593,208.6,123.06421088196194,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
9,0.5344931842986625,0.021570764588291134,109.2,78.49968152801641,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
10,0.5308379191756467,0.025380711615304117,160.4,90.46988449202308,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
11,0.5373535277542063,0.016491136581067083,235.2,136.558412410221,MC4R,GOF/LOF,0.6895210241695177,260.0,697.0
1,0.5,0.0,0.0,0.0,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
2,0.5019129768980782,0.020421174823336403,629.4,391.71711731809734,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
3,0.5024261855143222,0.013754518900540186,465.4,326.3446031421387,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
4,0.5102309325424198,0.015794765023043736,721.4,205.90968894153573,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
5,0.5073304027302397,0.01178863898628744,302.0,204.99024367027812,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
6,0.5113923709418201,0.007620882703920877,661.0,224.78545326599763,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
7,0.5081532571640885,0.019588282945672428,510.6,387.87536658055507,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
8,0.5169897009647746,0.011174736324879843,529.8,230.16233401666747,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
9,0.5170740174137805,0.007416133410227348,508.8,357.01288492153896,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
10,0.5113035333404607,0.014356241975600228,506.0,291.4429618295834,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
11,0.5145505971985089,0.012962199465617318,386.4,332.89157393962375,MC4R,GOF_10%,0.5937498340739341,631.0,5671.0
1,0.5,0.0,0.0,0.0,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
2,0.5014981837082716,0.011599196121236848,1064.6,691.5528179394544,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
3,0.5035637273899545,0.007658187510636931,903.6,586.6411168678854,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
4,0.5055234178906988,0.01036185872719635,1062.4,561.0711184867744,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
5,0.50681076188996,0.00781602417641757,817.6,494.3852748616204,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
6,0.5084069953736178,0.008061844219242062,762.2,462.6442477757613,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
7,0.5135604302652595,0.021067743904382326,1098.4,573.1669041387509,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
8,0.5170142321528994,0.013720771495964098,1223.8,506.545358284922,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
9,0.5207513956865417,0.012842038461529754,830.4,623.4679622883601,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
10,0.5160730437360272,0.013864255119647603,1144.0,527.3087330966556,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
11,0.517793504153175,0.017200398079027807,799.2,570.3680390765247,MC4R,GOF_20%,0.6071188498562383,1261.0,5041.0
1,0.5,0.0,0.0,0.0,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
2,0.5073984255345313,0.010667442363921807,668.0,379.89011569136676,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
3,0.5061713647436179,0.011364139415335388,697.4,417.55574478146025,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
4,0.4959714521408836,0.016474665303770765,362.6,417.9722478825598,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
5,0.5249383968892954,0.008046575254381266,397.8,96.73778992720477,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
6,0.5083839309737803,0.008690143652744115,382.6,213.17082351954267,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
7,0.5172382096065601,0.020814250551964997,530.6,349.53082839715296,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
8,0.5236418844014061,0.00971741285619392,597.6,170.29034030149802,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
9,0.520176517241357,0.021642646297689666,429.0,195.96428245984012,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
10,0.5202098933823986,0.017473943174781705,443.0,268.28156850592626,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
11,0.52191832676737,0.019774375899774155,650.6,197.02994696238437,MC4R,LOF_10%,0.6716796133244989,5671.0,631.0
1,0.5,0.0,0.0,0.0,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
2,0.5065761448352095,0.016082156154612143,872.8,612.4362824000551,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
3,0.5045441268212482,0.009244820678345748,1360.6,581.6311545988574,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
4,0.5052397865596968,0.018414783100288722,535.8,434.3077250061297,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
5,0.5190968077569693,0.008526701661990422,1036.8,367.30191940690975,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
6,0.5086853322050999,0.0060495501549510024,708.8,280.24400082785,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
7,0.5229253742775729,0.01956016334343137,1265.8,462.9321764578479,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
8,0.5249222426807248,0.012937650041260075,1310.4,362.0784445393014,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
9,0.5219393254761258,0.016701430672476016,806.6,349.8896969046102,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
10,0.5233023897330089,0.013610807883577708,1074.6,393.13076704831946,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
11,0.5235522938646515,0.016735983818542247,1250.6,237.86508781239837,MC4R,LOF_20%,0.6647411920113908,5041.0,1261.0
1,0.5,0.0,0.0,0.0,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
2,0.520870196247549,0.015618502952466156,1137.8,480.13352309539897,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
3,0.5315594244656341,0.01432366139407159,1254.2,378.3625245713428,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
4,0.5285886054611998,0.026709535194721853,1343.6,704.9555305123862,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
5,0.53860579662502,0.018126398316095187,1188.8,365.32410268144093,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
6,0.5417369696314485,0.01488147346839856,1047.0,217.61433776293325,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
7,0.5440548394869839,0.019286568195889156,1304.4,240.74322420371462,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
8,0.5482115435407747,0.015055072665240065,1370.2,315.4143306826752,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
9,0.5448141511359375,0.01606731081994117,1470.8,362.52544738266306,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
10,0.5449005922025598,0.011314810317755043,1287.6,278.0167261155343,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
11,0.5479218500188038,0.009799659707424404,1003.6,435.5597547983514,HXK4,GOF/LOF,0.7719196167021728,1803.0,4687.0
1,0.5,0.0,0.0,0.0,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
2,0.5064647513736416,0.013340887122722819,813.6,230.8079288066162,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
3,0.5119548875488193,0.00657186115768482,931.0,412.1025357844817,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
4,0.5073729557104196,0.009930095567908664,652.4,363.7049628476356,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
5,0.5112801072464404,0.0072939237216969105,663.8,356.466969016766,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
6,0.5147029970196633,0.01305831361571717,603.8,203.3413386402283,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
7,0.516399891746705,0.005082200605531195,753.6,298.36688824331696,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
8,0.5229265244003061,0.00975872575862176,555.4,255.65660562559304,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
9,0.5179322375244179,0.011249061832887599,449.4,346.46110892854915,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
10,0.5168902871550045,0.007242986418251583,673.0,432.6274378723569,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
11,0.5194162585525607,0.012405741115483405,512.6,334.3640231843133,HXK4,GOF_10%,0.6639591191643138,857.0,7713.0
1,0.5,0.0,0.0,0.0,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
2,0.5118433026961633,0.012788086353022034,1232.8,688.5402675225321,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
3,0.5198350486452422,0.010415606454755467,1475.8,631.2037705844286,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
4,0.5174718490547419,0.019052447594555627,1386.0,698.3870703270501,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
5,0.5251710223391235,0.012820903912296391,1304.4,379.2351513243465,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
6,0.5281362411672184,0.00978582896010276,1291.4,354.49795486010913,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
7,0.5297932021732411,0.012780759279069454,1314.8,266.93201381625244,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
8,0.5346659867825011,0.011367101319269976,1501.4,410.72716004666654,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
9,0.5310331942992338,0.007875386469206963,1336.0,425.48266709702756,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
