Protein,Domain,LLR r,RFAL r
MC4R,ECD,−0.560,+0.754
MC4R,TM1,0.251,0.391
MC4R,TM2,0.282,0.554
MC4R,ICL2,0.802,0.709
MC4R,TM3,0.294,0.477
MC4R,ECL2,0.330,0.609
MC4R,TM4,0.574,0.714
MC4R,ICL3,0.205,0.308
MC4R,TM5,0.450,0.492
MC4R,TM6,−0.209,0.232
MC4R,TM7,0.243,0.269
MC4R,C-tail,0.352,0.476
HXK4,Small domain,0.586,0.641
HXK4,Hinge 1,0.832,0.704
HXK4,Large domain (N-lobe),0.643,0.633
HXK4,Hinge 2,0.504,0.812
HXK4,Large domain (C-lobe),0.684,0.669
HXK4,C-terminal tail,0.557,0.589
PTEN,Phosphatase domain,0.666,0.492
PTEN,Linker,0.398,0.203
PTEN,C2 domain,0.449,0.328
PTEN,C-terminal tail,0.226,0.044
SRC,Kinase,0.427,0.727
