domain,domain_start,domain_end,assay_source,metric,metric_std,model
C-tail,306,332,MC4R,-0.48012454028393126,0.1478220993460482,RF AL
ECD,1,35,MC4R,-0.75550120855076,0.19997969031319152,RF AL
ECL2,141,149,MC4R,0.8161168629436082,0.15325788620060887,RF AL
ECL3,231,239,MC4R,-1.068055333238791,0.11919010319674274,RF AL
ICL1,66,71,MC4R,0.39810582494523283,0.05614151678941807,RF AL
ICL2,103,109,MC4R,-0.5641571192471077,0.10721525700003466,RF AL
ICL3,176,199,MC4R,0.41096195735313107,0.18463504375339876,RF AL
ICL4,271,279,MC4R,0.08820930889318165,0.06841902926603842,RF AL
TM1,36,65,MC4R,0.14675836933462988,0.1416289715582533,RF AL
TM2,72,102,MC4R,-0.06662180026031418,0.15770565924264407,RF AL
TM3,110,140,MC4R,0.06795958243597172,0.12071435821201465,RF AL
TM4,150,175,MC4R,0.4610797386748692,0.17670392006350968,RF AL
TM5,200,230,MC4R,0.004797121897329249,0.12624935509366614,RF AL
TM6,240,270,MC4R,-0.10224547620057793,0.09394395944630934,RF AL
TM7,280,305,MC4R,0.6546092829898227,0.060285363317375495,RF AL
C‑terminal tail,301,465,HXK4,-0.13281705547194028,0.08215382793613489,RF AL
Hinge 1,65,72,HXK4,-0.7278257443894278,0.18343466521851187,RF AL
Hinge 2,181,200,HXK4,0.27207735390782467,0.130959872156115,RF AL
Large domain (C‑lobe),201,300,HXK4,-0.030087164720940047,0.12211136893543507,RF AL
Large domain (N‑lobe),73,180,HXK4,0.19476233123637146,0.12087242606777894,RF AL
Small domain,1,64,HXK4,-0.177160441608271,0.10198376055246905,RF AL
C-terminal tail,352,403,PTEN,-0.7117748645423922,0.25186618134726557,RF AL
C2 domain,195,351,PTEN,-0.7062960411729576,0.25532131862168117,RF AL
Linker,186,194,PTEN,-0.8882755503126238,0.3142525783207288,RF AL
Phosphatase domain,1,185,PTEN,-0.16848979758664276,0.2365952930077906,RF AL
Kinase,270,536,SRC,0.06612317215258767,0.04512175668464976,RF AL
